bestdead,AY,Animal_ID,Herd,Cause_Mort,CausMortAcc,Evidence,Comments,CarcassCon
20080118,2007,S40,Mt. Warren,Malnutrition,Certain,"no body fat very little visceral fat, kidney fat index 0 - 1% femur fat not waxy and hard more gelatinous","collected lung tissue and femur- stored in freezer. Lungs appeared normal looking- photos of lungs taken, there were some minor ""cyst-looking"" features (few) on lower lung, we collected these and placed in formaline container. See hard copy for more notes",Intact
20080116,2007,S76,Mt. Warren,Unknown,,none,Found coyote scat with bighorn hair in it 1 meter from VHF collar. Collar and scat under about 1 ft. of snow,
20080115,2007,S71,Wheeler Ridge,Unknown,,"animal not cached, coyote scat and tracks all around the mort.  A few sets of bobcat tracks coming & going",no way to know exact cause of death.  Possibly mortality was due to old age or bocat.,Scavenged
20080111,2007,S103,Mt. Warren,Malnutrition,Certain,Necropsy zero fat,"Necropsy: lung + tissue sample collected zero fat on kidney samples sent to B. Gonzales; 0 body fat; lungs showed interstitial pneumonia with pulmonary vascular thrombosis; hepatitis, mild focal necrotizing graulocytic",Intact
20080110,2007,S52,Mt. Langley,Unknown,,no data,3 months old when picked up.,Consumed
20080103,2007,S46,Wheeler Ridge,Lion,Certain,puncture wounds to neck; cached under tree; dirt in body cavity,should be checked out by houndsmen after snow melt.  Snow storm may have prevented lion from consuming kill,Intact
20071101,2007,S75,Mt. Warren,Unknown,,only collar found & some hair; could not locate carcass under snow,only hair & VHF collar found - carcass is presumable under snow.  Should be investigated in spring.,
20071025,2007,S91,Mt. Langley,Capture,Probable,none,used helicopter to recover - GPS beacon off during recovery,Consumed
20071024,2007,S85,Wheeler Ridge,Capture,Certain,Euthanized,Capture injury --- Euthanization; Animal was processed at basecamp 10/23 returned to Wheeler for possible recovery.  Apparent nerve damage upon autopsy.,Intact
20071020,2007,S106,Mt. Warren,Capture,Certain,died during captue,,
20070924,2007,S8,Mt. Langley,Unknown,,,"last heard 8/24/07, censored 1/8/2010--unknown cause added by AF 12/06/2011",
20070914,2007,S90,Mt. Langley,Physical Injury,Probable,left femur broken; located under carcass carcass in narrow crack; all other skeletal remains intact,summer range toward low side; likely animal fell or rock hit in loose chute. Carcass wedged in crack prevented larger scavengers from easily getting bones,Scavenged
20070607,2007,S66,Mt. Warren,Unknown,,,"last heard 5/7/7, censored 1/8/2010--unknown cause added by AF 12/06/2011",
20070525,2007,S48,Sawmill Canyon,Lion,Certain,lion scat found next to mortality,collar collected. Found with S49 in group of thick birch and willow. Photos are filed. 642 meters west from identified kill site of M33 (Lion 95); GPS data does not clearly indicated Lion 95,Consumed
20070518,2007,S49,Sawmill Canyon,Lion,Certain,"lion scat found next to mortality, buried rumen (indication of lion behavior)642 meters west from identified kill site of M33 (Lion 95); GPS data does not clearly indicated Lion 95",Located from sheep collar. With S48 in thick birch and willow trees.  The trees went up to hill to steep rock terrain. Dragged from steep rocks 60ft into trees/thick forest. Photos on o drive in mortality folder.,Consumed
20070501,2007,S2,Wheeler Ridge,Unknown,,,"Based on bone marrow, body condition was good.",Scavenged
20070329,2006,S57,Mt. Baxter,Lion,Certain,"lion 860  came from Sawmill on 27th night, laid in Charlie Cyb on 29th-30th, lion scraps and bed at kill site",lion collar changed to 159.838 on 3/31/07,Consumed
20070309,2006,S18,Wheeler Ridge,Lion,Certain,"lion tracks at kill site, lion tracked to site with collar",kill located based on mort signal from ram collar,Consumed
20070306,2006,S98,Mt. Warren,Unknown,,"unknown cause, no tracks.  Could not locate most of body.  Did not find a definite mortality site.  Collar had large dent which could be the result of a fatal fall (1/2 deep x 1.5 x 1.5 inches)",bone marrow does not show poor nutrition; oldest female in the population (pregnant this year).  Clear evidence of coyote scavenging but could not determine the cause of death.,Consumed
20070207,2006,S36,Wheeler Ridge,Lion,Certain,"lion track found, fresh lion scat found",,Consumed
20070108,2006,S3,Wheeler Ridge,Unknown,,,aerial location from mortality signal.  Collar never recovered; UTMs estimated from description,
20061230,2006,S29,Wheeler Ridge,Unknown,,,"Last heard 11/30/06, censored 1/7/10--unknown cause added by AF 12/06/2011",
20060821,2006,S5,Wheeler Ridge,Physical Injury,Probable,"puncture wound in side, no scavenging by medium or large size scavengers - i.e. hide intact and no broken bones.",,Scavenged
20171120,2016,S251,Sawmill Canyon,Unknown,,,Consumed,Female
20170524,2016,S240,Wheeler Ridge,Physical Injury,Certain,"In creek below cliff with rockfall. Broken: ribs, pelvis, both tib/fibs, lumbar spine, shattered pelvis, broken left front leg, punctured lung.",Intact,Female
20170508,2016,S319,Sawmill Canyon,Lion,Certain,"cached, plucked, notches in lower jaw. Rumen pile missing. Long bones and spine consumed",Consumed,Female
20170426,2016,S407,Mt. Langley,Lion,Certain,"tracks, drag mark, cached, rumen intact, hair plucked, long bones cracked",Consumed,Female
20170426,2016,S471,Wheeler Ridge,Rock Fall,Certain,"Rock on top of lamb, also ground evidence of rock fall above lamb",Intact,Male
20170419,2016,S306,Mt. Baxter,Lion,Probable,"chip on lower jaw, plucked fur, cracked bones, location of carcass along creek",Consumed,Female
20170416,2016,S232,Sawmill Canyon,Lion,Certain,"Knotch on jaw. Long bones cracked or missing. Lion tracks. Plucked hair, rumen intact",Scavenged,Female
20170406,2016,S314,Sawmill Canyon,Lion,Certain,"cached, plucked hair, rumen intact, long bones cracked, ribs clipped, lion tracks.",Scavenged,Female
20170331,2016,S469,Wheeler Ridge,Capture,Probable,"No injuries observed, no internal hemorrhaging, in decent body condition with fat on omentum, kidney, heart.",Intact,Female
20170330,2016,S331,Mt. Warren,Malnutrition,Probable,bone marrow of leg (not femur) indicated poor condition. Not predation or avalanche,Scavenged,Male
20170329,2016,S239,Mt. Warren,Lion,Probable,"rumen intact, plucked hair, knotch on jaw, cached carcass",Consumed,Male
20170329,2016,S174,Mt. Langley,Lion,Certain,"Lion tracks, scat, cache site, hair pile, hair plucked, rumen, ribs clipped, long bones broken",Consumed,Female
20170324,2016,S467,Wheeler Ridge,Capture,Certain,"Necropsy by vet B Munk showed broken hip, associated hemorrhaging, and L4/L5 vertebrae dislocation",Intact,Female
20170318,2016,S209,Mt. Langley,Lion,Certain,,Consumed,Female
20170317,2016,S379,Laurel Creek,Unknown not Predation,Probable,"no marks on jaw, scavenged but not clearly consumed",Scavenged,Female
20170317,2016,S186,Mt. Gibbs,Avalanche,Probable,"found in avalanche debris, and died during lg storm cycle",Scavenged,Male
20170306,2016,S406,Mt. Langley,Lion,Certain,"canine holes on jaw and eye sockets, lg bones broken, cache site, drag marks, lion tracks",Consumed,Female
20170304,2016,S92,Mt. Langley,Unknown not Predation,,"No fat, poor condition, serious injury to neck at jugular that was healing. Skinned her, no evidence of bruising from predation or other injury.",Scavenged,Female
20170304,2016,S253,Mt. Gibbs,Unknown not Predation,,"Died during nice weather, no sign of avalanche, possible malnutrition",Scavenged,Female
20170304,2016,S92,Mt. Langley,Unknown not Predation,,"No fat, poor condition, serious injury to neck at jugular that was healing. Skinned her, no evidence of bruising from predation or other injury.",Scavenged,Female
20170303,2016,S419,Wheeler Ridge,Physical Injury,Probable,"subcutaneous hemorrhaging from neck to front let on right side, also along ribs and under leg. No internal hemorrahging, no sign predators",Intact,Female
20170301,2016,S113,Mt. Williamson,Lion,Probable,"lion tracks, long bones consumed, hair plucked, hair pile",Consumed,Male
20170301,2016,S398,Convict Creek,Malnutrition,Probable,"skeleton largely intact on a rocky ledge, bone marrow old but appeared red. Lots of sheep pellets, bedside, looked like she had been at this location for a long time w/o much movement before death.",Scavenged,Female
20170301,2016,S330,Mt. Warren,Malnutrition,Probable,"Marrow of tibia was red and gelatinous, skeleton mostly intact and not in slide area",Scavenged,Female
20170301,2016,S426,Mt. Langley,Lion,Certain,"canine tooth punctures in throat, ribls clipped, end of nose eaten, lion tracks, drag mark, hair plucked",Consumed,Female
20170223,2016,S320,Sawmill Canyon,Lion,Certain,"claw damage to nose, large canine hole in shoulder blade, ribs clipped",Consumed,Male
20170222,2016,S363,Mt. Baxter,Unknown,,"nothing left, too long since mortality to determine cause",Consumed,Male
20170216,2016,S266,Mt. Langley,Lion,Certain,"drag mark, cached, lion tracks, kidneys eaten",Consumed,Female
20170212,2016,S446,Mt. Langley,Lion,Certain,"lion tracks all around, carcass stashed, lion territory marked 50ft from carcass, numerous dragmarks, jaw clipped, puncture marks on front and back neck, wildlife camera caught lion eating carcass later",Intact,Female
20170210,2016,S248,Wheeler Ridge,Physical Injury,Certain,"Found on narrow ledge below cliffs. Front and back legs on L side broken, horn cracked",Intact,Female
20170127,2016,S423,Convict Creek,Unknown,,,Scavenged,Female
20170127,2016,S347,Wheeler Ridge,Lion,Probable,"Lion tracks, ribs clipped, cached carcass, lion tracks. No puncture wounds found on neck.",Consumed,Male
20170126,2016,S222,Convict Creek,Avalanche,Probable,GPS pts indicate likely avalanche,Scavenged,Female
20170125,2016,S296,Mt. Baxter,Malnutrition,Probable,Animal may have died of malnutrition and then was eaten by coyotes.,Consumed,Male
20170125,2016,S296,Cathedral,Malnutrition,Probable,Animal may have died of malnutrition and then was eaten by coyotes.,Consumed,Male
20170124,2016,S424,Convict Creek,Hypothermia,Certain,"Sheep was in creek, wet but not submerged, partially frozen onto bank with lamb.",Intact,Female
20170124,2016,S401,Convict Creek,Avalanche,Certain,"died in an avi chute on a day w/extreme avi conditions, recovered in avi debris",Scavenged,Male
20170121,2016,S443,Mt. Langley,Unknown not Predation,Certain,died during big storm,Consumed,Male
20170121,2016,S431,Taboose Creek,Avalanche,Probable,Animal was found in avid debris and died during lg storm,Scavenged,Male
20170120,2016,S381,Laurel Creek,Unknown,,,,Female
20170117,2016,S215,Mt. Gibbs,Unknown not Predation,,,Scavenged,Male
20170114,2016,S177,Mt. Langley,Lion,Certain,"hair plucked, ribs clipped, drag marks, scat, puncture wounds",Consumed,Female
20170109,2016,S427,Mt. Langley,Lion,Certain,"rumen intact, plucked fur, clipped ribs, drag mark, puncture in jugular, lion tracks",Intact,Male
20170106,2016,S444,Mt. Langley,Unknown not Predation,Certain,died during big storm,Consumed,Female
20170105,2016,S355,Taboose Creek,Avalanche,Probable,located in avalanche debris,Consumed,Male
20170101,2016,S152,Wheeler Ridge,Unknown,,,,Male
20170101,2016,S436,Convict Creek,Malnutrition,Probable,"carcass found below rocky outcrop. Did not appear to be avalanche patch, but more likely a spot to hunker down during storm",Scavenged,Female
20161203,2016,S81,Mt. Langley,Lion,Certain,"2 lions in area tracked to kill. Hair plucked, 2 cache sites, buried, lg bones eaten. Rumen intact.",Consumed,Female
20160727,2016,S197,Mt. Baxter,Unknown Poss Predation,,bear scat present. Ribs looked clipped,Consumed,Male
20160701,2016,S276,Olancha Peak,Unknown,,"Carcass found 10ft from collars, not cached. All remains in a small radius.",Consumed,Female
20160628,2016,S389,Wheeler Ridge,Bobcat,Probable,"hemorrhaging on several locations of hide, blood pooled on fur cached, relatively intact rumen, crushed posterior corner of jaw, hair sheared, cache included pieces of juniper removed from live tree.Collar is ripped/punctured.",Consumed,Male
20160524,2016,S420,Wheeler Ridge,Lion,Certain,"Cached, broken neck, skull cavity opened and brain consumed. Ribs clipped. Puncture wounds. Lion scat and tracks. Drag marks to cache site.",Consumed,Female
20160516,2016,S301,Mt. Baxter,Lion,Probable,"cached, drag marks, plucked hair, organs intact, long bone broken, bite marks on hind end",Scavenged,Female
20160516,2016,S300,Mt. Baxter,Malnutrition,Unknown,"clearly malnurished, yellow spot on liver, may indicate illness. May be sick but unknown.",Intact,Male
